                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74756,                 3.5541,                 1.2914,                0.27293,                0.00102,                 0.0014,                0.00106,                0.62093,                 5.4919,                0.79986,             2.0625e-05,             2.0625e-05,             2.0625e-05
                      2,                0.54091,                 2.0932,                 1.1433,                0.00329,                0.02133,                0.00341,                0.00271,                0.56536,                 4.8632,                 0.7533,             2.7665e-05,             2.7665e-05,             2.7665e-05
                      3,                0.46648,                 1.7102,                 1.0843,                0.00316,                0.03053,                 0.0037,                 0.0031,                0.55489,                 4.6381,                0.73897,             2.1066e-05,             2.1066e-05,             2.1066e-05
                      1,                 0.4957,                 1.6212,                 1.0965,                0.00862,                0.04996,                0.00893,                 0.0077,                0.51791,                 4.1561,                0.70985,             2.0584e-05,             2.0584e-05,             2.0584e-05
                      1,                 0.4538,                 1.4437,                 1.0644,                0.00584,                0.04321,                0.00631,                0.00549,                0.50918,                 3.8322,                0.70379,             2.0584e-05,             2.0584e-05,             2.0584e-05
                      2,                0.43451,                  1.294,                  1.043,                0.00637,                0.04368,                0.00745,                 0.0065,                0.48709,                 3.8175,                0.68757,             3.4444e-05,             3.4444e-05,             3.4444e-05
                      3,                0.40595,                 1.1857,                 1.0177,                0.00665,                0.05014,                0.00851,                0.00725,                0.47913,                 3.5582,                0.67849,             4.1484e-05,             4.1484e-05,             4.1484e-05
                      4,                0.38779,                 1.1036,                 1.0059,                0.00763,                  0.047,                0.01037,                0.00883,                 0.4644,                 3.3685,                0.66797,              3.131e-05,              3.131e-05,              3.131e-05
                      5,                0.36806,                  1.029,                0.99194,                0.00769,                0.04565,                0.01087,                 0.0094,                0.45772,                 3.2563,                0.66092,              2.108e-05,              2.108e-05,              2.108e-05
                      6,                0.35559,                 1.0031,                0.98163,                0.00831,                0.04678,                0.01196,                0.01015,                0.44758,                 3.1988,                 0.6556,              1.085e-05,              1.085e-05,              1.085e-05
