                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0688,                  3.661,                 3.9034,                0.00653,                0.03522,                0.00708,                0.00309,                 2.9329,                 6.5163,                 2.3504,             0.00055075,             0.00055075,             0.00055075
                      2,                    2.6,                 3.0368,                 3.1299,                0.00723,                 0.0194,                0.00673,                0.00284,                 2.2931,                 15.803,                 1.9245,             0.00099688,             0.00099688,             0.00099688
                      3,                 2.1166,                  2.519,                 2.5858,                0.12387,                0.01389,                0.01186,                0.00627,                 1.9124,                 4.5193,                 1.5545,               0.001333,               0.001333,               0.001333
                      4,                 1.8269,                 2.1084,                 2.2432,                0.12082,                0.01632,                0.01223,                  0.007,                 1.8451,                 4.6257,                 1.5024,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.6744,                 1.9038,                 2.0667,                0.30521,                0.01286,                 0.0181,                0.01188,                 1.6151,                 3.5015,                 1.3066,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.5371,                 1.7286,                  1.914,                0.20705,                0.01199,                  0.018,                0.01083,                 1.4421,                  3.214,                 1.2059,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.4534,                 1.6038,                 1.8322,                0.30763,                0.01463,                0.01878,                0.01289,                 1.3776,                  2.947,                  1.156,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.3842,                 1.4935,                 1.7488,                0.22986,                0.01499,                0.02001,                0.01287,                 1.2997,                 2.8598,                 1.0911,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3202,                 1.4322,                 1.6853,                0.27525,                0.01463,                0.02246,                0.01554,                 1.2452,                  2.636,                 1.0638,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.2674,                 1.3723,                 1.6322,                0.38289,                0.01571,                0.02314,                0.01559,                 1.2125,                 2.4962,                 1.0348,              0.0001817,              0.0001817,              0.0001817
