                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.133,                 8.6666,                 2.1966,                 0.0091,                0.83926,                 0.1226,                0.10125,                0.75116,                 13.422,                 1.2868,             0.00015341,             0.00015341,             0.00015341
                      1,                  1.187,                 18.183,                 2.2668,                0.57876,                0.23823,                0.26782,                0.23041,                0.94252,                 21.081,                 1.3321,             0.00015341,             0.00015341,             0.00015341
                      1,                0.69313,                 3.2268,                 1.1788,                 0.4142,                 0.1489,                0.17223,                0.13964,                0.53454,                 5.9085,                0.73279,             0.00015341,             0.00015341,             0.00015341
                      2,                0.51497,                 0.9983,                 1.0028,                0.43789,                0.12304,                0.12396,                0.09355,                0.79875,                 3.4401,                0.88677,             0.00031039,             0.00031039,             0.00031039
                      3,                0.48745,                0.73063,                0.98167,                0.39831,                0.12036,                0.13195,                0.10403,                0.66336,                 4.0817,                0.78101,             0.00046419,             0.00046419,             0.00046419
                      4,                 0.4586,                0.58622,                0.97101,                0.51809,                0.06684,                0.08704,                0.07356,                0.66654,                 2.8108,                 0.7795,             0.00061483,             0.00061483,             0.00061483
                      5,                0.49651,                0.60874,                0.97598,                0.53888,                  0.052,                0.07464,                0.05364,                0.81851,                 4.8185,                0.87022,             0.00064059,             0.00064059,             0.00064059
                      6,                0.49512,                0.56886,                0.98874,                0.60871,                0.05105,                 0.0582,                0.04179,                 1.1055,                 4.5691,                0.99782,             0.00063398,             0.00063398,             0.00063398
                      7,                0.49096,                0.57358,                0.97924,                0.33204,                0.05889,                0.07184,                0.05824,                0.76424,                 2.5362,                0.84851,             0.00062738,             0.00062738,             0.00062738
                      8,                0.44807,                0.49773,                0.95721,                0.68012,                0.05702,                0.07083,                0.05683,                0.65152,                 2.4905,                0.78379,             0.00062078,             0.00062078,             0.00062078
                      9,                0.44646,                0.46321,                0.96213,                0.77035,                0.04319,                0.07189,                0.06767,                0.68949,                 2.5786,                0.78536,             0.00061417,             0.00061417,             0.00061417
                     10,                0.45257,                0.49503,                0.96499,                 0.4132,                0.04765,                0.06036,                0.05242,                 0.6624,                 1.7573,                0.79196,             0.00060757,             0.00060757,             0.00060757
                     11,                0.43563,                0.44209,                0.95662,                 0.7017,                0.04545,                0.06477,                0.05492,                0.60768,                 1.5482,                0.74629,             0.00060097,             0.00060097,             0.00060097
                     12,                0.44682,                0.44163,                0.95074,                 0.4916,                0.05056,                0.08556,                0.08031,                0.66713,                 1.8521,                0.78026,             0.00059436,             0.00059436,             0.00059436
                     13,                0.41517,                0.42179,                  0.943,                0.46492,                0.04051,                0.05344,                0.04616,                0.67751,                 1.7069,                0.78505,             0.00058776,             0.00058776,             0.00058776
                     14,                0.39448,                0.39565,                0.94783,                 0.9135,                0.05188,                 0.0809,                0.07413,                0.57978,                 1.4208,                0.73084,             0.00058116,             0.00058116,             0.00058116
                     15,                0.39864,                0.38428,                0.93808,                0.72173,                0.05674,                0.07597,                0.06985,                0.56286,                 1.3158,                0.71247,             0.00057455,             0.00057455,             0.00057455
                     16,                0.39546,                0.37402,                0.94299,                0.88543,                0.08429,                0.10749,                0.09581,                0.62342,                 1.3535,                 0.7532,             0.00056795,             0.00056795,             0.00056795
                     17,                0.39933,                0.38551,                0.94364,                0.78659,                0.05915,                0.07748,                0.06956,                 0.4841,                 1.1538,                0.66299,             0.00056135,             0.00056135,             0.00056135
                     18,                0.38481,                0.36669,                0.93299,                0.67775,                0.06066,                0.10044,                0.08886,                  0.504,                 1.3515,                0.67761,             0.00055474,             0.00055474,             0.00055474
                     19,                0.38674,                0.36793,                0.93682,                0.77557,                0.06376,                0.10026,                0.08988,                0.51529,                 1.0773,                0.66919,             0.00054814,             0.00054814,             0.00054814
                     20,                0.38159,                0.35594,                0.93629,                0.98125,                0.07482,                0.13673,                0.12552,                0.48129,                0.90217,                0.67337,             0.00054154,             0.00054154,             0.00054154
                     21,                0.37994,                  0.361,                0.93376,                0.91921,                0.09852,                0.13343,                0.12022,                0.50483,                0.93504,                0.67753,             0.00053493,             0.00053493,             0.00053493
                     22,                0.37123,                0.33439,                0.93938,                0.96115,                0.06994,                0.10953,                0.10046,                0.43592,                0.91063,                0.65293,             0.00052833,             0.00052833,             0.00052833
                     23,                0.36136,                0.33228,                0.92558,                0.94067,                0.13024,                0.19821,                0.17759,                 0.4289,                0.88857,                0.64361,             0.00052173,             0.00052173,             0.00052173
                     24,                0.35859,                0.33632,                0.92286,                0.69149,                 0.1601,                0.22236,                0.19299,                0.43599,                0.84213,                0.64775,             0.00051512,             0.00051512,             0.00051512
                     25,                0.34987,                0.32483,                0.92653,                0.79631,                0.14546,                0.18427,                0.15836,                 0.4661,                0.90986,                0.66964,             0.00050852,             0.00050852,             0.00050852
                     26,                0.35359,                0.34109,                0.92322,                0.88392,                0.09449,                0.11216,                0.09652,                0.52493,                0.99665,                0.70328,             0.00050192,             0.00050192,             0.00050192
                     27,                0.34709,                0.33446,                0.93303,                0.61748,                0.25489,                0.29457,                0.25323,                0.44436,                0.93689,                0.65142,             0.00049531,             0.00049531,             0.00049531
                     28,                0.34282,                0.32119,                0.92075,                0.80401,                0.26128,                0.31797,                0.27984,                0.43124,                 1.0017,                0.63612,             0.00048871,             0.00048871,             0.00048871
                     29,                0.32561,                0.32225,                0.91434,                0.83037,                0.31144,                0.34786,                0.30335,                0.41052,                 1.1058,                0.63074,             0.00048211,             0.00048211,             0.00048211
                     30,                0.33422,                0.30994,                0.92044,                0.63318,                0.13702,                0.16435,                0.13418,                0.68875,                 1.9499,                0.79907,              0.0004755,              0.0004755,              0.0004755
                     31,                0.32858,                0.30082,                 0.9075,                0.89409,                0.67041,                0.69258,                0.59348,                0.45059,                0.85997,                 0.6454,              0.0004689,              0.0004689,              0.0004689
                     32,                0.32493,                0.29629,                0.91255,                0.96472,                0.95824,                 0.9801,                0.84397,                0.40677,                0.66424,                0.62882,              0.0004623,              0.0004623,              0.0004623
                     33,                0.32414,                   0.29,                0.91149,                0.92764,                 0.9328,                0.97018,                0.82819,                0.43816,                0.83738,                 0.6485,             0.00045569,             0.00045569,             0.00045569
                     34,                0.33474,                0.30453,                0.91621,                0.93178,                0.94569,                0.95699,                0.82382,                 0.4052,                0.77734,                0.62278,             0.00044909,             0.00044909,             0.00044909
                     35,                0.32859,                0.28757,                0.91633,                0.94922,                0.96523,                0.97984,                0.84986,                0.38523,                0.66666,                0.62502,             0.00044249,             0.00044249,             0.00044249
                     36,                0.30944,                0.28291,                0.90745,                0.93839,                0.71398,                0.73351,                0.64733,                0.38449,                0.73327,                0.62189,             0.00043588,             0.00043588,             0.00043588
                     37,                0.31814,                0.28798,                0.91491,                0.96136,                0.94545,                0.98052,                0.88127,                0.36338,                0.69509,                0.60999,             0.00042928,             0.00042928,             0.00042928
                     38,                0.29761,                0.27429,                 0.9007,                0.95091,                0.95881,                0.97634,                0.85918,                 0.3757,                0.67442,                 0.6175,             0.00042268,             0.00042268,             0.00042268
                     39,                0.31616,                 0.2812,                0.91035,                0.95096,                0.95478,                0.97483,                0.85057,                0.40071,                0.72704,                 0.6289,             0.00041607,             0.00041607,             0.00041607
                     40,                0.31976,                0.28638,                0.90934,                0.96048,                0.97867,                0.98422,                0.87622,                0.37859,                0.61763,                0.61132,             0.00040947,             0.00040947,             0.00040947
                     41,                0.30202,                0.27359,                0.90275,                0.96893,                 0.9677,                0.98224,                0.87236,                0.35545,                 0.6062,                0.60835,             0.00040287,             0.00040287,             0.00040287
                     42,                0.29547,                0.27145,                0.91094,                 0.9626,                0.95646,                0.97543,                0.86727,                0.35049,                0.65515,                0.60576,             0.00039626,             0.00039626,             0.00039626
                     43,                0.28719,                0.27854,                0.90036,                0.97491,                0.96789,                0.98059,                0.86284,                0.38838,                0.64239,                0.62057,             0.00038966,             0.00038966,             0.00038966
                     44,                0.28525,                0.26234,                0.89656,                0.96552,                0.97505,                0.98158,                0.86511,                0.36629,                0.60226,                0.61532,             0.00038306,             0.00038306,             0.00038306
                     45,                0.29478,                0.25672,                 0.9013,                0.96994,                0.98505,                0.98408,                0.88721,                0.35466,                0.55443,                0.60553,             0.00037645,             0.00037645,             0.00037645
                     46,                 0.2947,                0.26634,                0.90465,                0.96607,                0.97151,                0.98442,                0.89016,                0.37502,                0.59422,                0.62509,             0.00036985,             0.00036985,             0.00036985
                     47,                0.29422,                0.26218,                 0.8998,                0.95333,                0.97662,                0.98327,                0.88293,                0.35041,                0.61258,                0.60545,             0.00036325,             0.00036325,             0.00036325
                     48,                0.28827,                0.26067,                 0.8967,                0.96308,                0.93534,                 0.9526,                0.84372,                0.35503,                0.62822,                0.61254,             0.00035664,             0.00035664,             0.00035664
