                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91653,                 3.4445,                 1.3202,                0.01469,                0.96319,                0.18199,                0.13923,                    0.4,                 6.7648,                0.68283,                0.00012,                0.00012,                0.00012
                      2,                0.70424,                 2.7457,                 1.1805,                0.63706,                0.13046,                0.26988,                0.19707,                0.62224,                 5.3807,                0.83671,             0.00024918,             0.00024918,             0.00024918
                      3,                0.74068,                  1.971,                 1.1871,                0.74013,                0.38193,                0.38891,                  0.268,                0.92922,                 4.9239,                0.95296,             0.00037749,             0.00037749,             0.00037749
                      4,                0.76466,                 1.5377,                 1.1585,                0.58744,                0.43708,                0.51417,                0.36409,                0.74808,                 4.7048,                0.85752,             0.00050495,             0.00050495,             0.00050495
                      5,                0.74042,                 1.3198,                 1.1238,                0.53161,                0.19413,                0.22326,                 0.1547,                0.76036,                 3.4596,                0.93885,             0.00063155,             0.00063155,             0.00063155
                      6,                0.72495,                 1.2048,                 1.1223,                0.67296,                0.22901,                0.25186,                0.17932,                0.76985,                 3.3439,                0.89479,             0.00075729,             0.00075729,             0.00075729
                      7,                0.71739,                 1.1924,                 1.1102,                0.42273,                0.17269,                0.18798,                 0.1447,                0.75189,                 3.3607,                0.94106,             0.00088218,             0.00088218,             0.00088218
                      8,                0.75898,                 1.1294,                 1.1278,                0.23091,                0.08827,                0.09583,                0.06009,                0.86851,                 3.8035,                0.96707,              0.0009769,              0.0009769,              0.0009769
                      9,                0.74823,                 1.0618,                 1.1205,                0.53058,                  0.071,                 0.0845,                0.05967,                0.64036,                 3.3301,                0.81968,              0.0009736,              0.0009736,              0.0009736
                     10,                0.72763,                 1.0393,                 1.1202,                 0.4385,                0.05671,                0.07138,                0.05128,                0.70438,                 3.3714,                0.84317,              0.0009703,              0.0009703,              0.0009703
                     11,                0.71007,                0.99404,                 1.1069,                0.60468,                0.10077,                0.08179,                0.04926,                 1.0289,                 4.3183,                 1.1332,               0.000967,               0.000967,               0.000967
                     12,                0.75235,                 1.0396,                 1.1349,                0.19525,                0.05394,                0.05007,                 0.0312,                 1.0785,                 4.5232,                 1.1528,              0.0009637,              0.0009637,              0.0009637
                     13,                0.69889,                0.95875,                 1.1216,                0.50147,                0.06183,                0.06423,                0.04633,                0.73907,                 3.0173,                0.82972,              0.0009604,              0.0009604,              0.0009604
                     14,                0.68357,                0.91705,                 1.0975,                0.36797,                0.06769,                0.05974,                0.04888,                0.68834,                 2.7077,                0.81696,              0.0009571,              0.0009571,              0.0009571
                     15,                0.69835,                0.86481,                 1.1105,                0.80259,                0.07131,                0.07466,                0.05744,                0.64616,                 2.1533,                0.78425,              0.0009538,              0.0009538,              0.0009538
                     16,                0.67279,                0.81517,                 1.0717,                0.51389,                0.04895,                0.05926,                0.04672,                0.62524,                 3.4005,                0.77974,              0.0009505,              0.0009505,              0.0009505
                     17,                0.67827,                0.77351,                 1.0891,                0.64124,                0.05967,                0.06094,                 0.0478,                0.68452,                 2.2605,                0.79095,              0.0009472,              0.0009472,              0.0009472
                     18,                0.66283,                0.77371,                 1.0692,                0.72688,                0.07634,                0.08283,                0.06217,                0.58214,                 1.6932,                0.74769,              0.0009439,              0.0009439,              0.0009439
                     19,                0.64117,                0.74079,                 1.0636,                0.89345,                0.06662,                0.06792,                0.05258,                0.57647,                 1.3001,                0.75384,              0.0009406,              0.0009406,              0.0009406
                     20,                0.61472,                0.70173,                 1.0572,                0.87426,                0.04926,                0.05224,                0.04199,                0.57358,                 1.9327,                0.73664,              0.0009373,              0.0009373,              0.0009373
                     21,                0.64489,                  0.737,                 1.0686,                0.81604,                0.03051,                 0.0407,                0.03244,                0.59734,                 1.4259,                0.76608,               0.000934,               0.000934,               0.000934
                     22,                0.63614,                0.71869,                 1.0673,                0.92899,                0.01735,                0.01903,                0.01526,                0.52407,                  1.647,                0.71829,              0.0009307,              0.0009307,              0.0009307
                     23,                0.62458,                0.71078,                 1.0737,                0.78511,                0.03398,                0.03856,                0.03095,                0.49783,                 1.0646,                0.68032,              0.0009274,              0.0009274,              0.0009274
                     24,                0.62848,                0.67874,                 1.0563,                0.65293,                0.02082,                0.02858,                0.02364,                0.45369,                 1.1176,                0.66298,              0.0009241,              0.0009241,              0.0009241
                     25,                0.63696,                0.66965,                 1.0543,                0.65475,                 0.0317,                 0.0401,                0.03294,                0.57089,                 2.3983,                0.73802,              0.0009208,              0.0009208,              0.0009208
                     26,                0.57088,                0.62453,                 1.0258,                 0.7104,                0.03051,                0.04287,                0.03731,                0.51934,                 1.4054,                0.70849,              0.0009175,              0.0009175,              0.0009175
                     27,                 0.6047,                0.64356,                 1.0552,                0.84167,                0.01227,                0.02019,                0.01321,                0.53398,                 1.0747,                 0.7103,              0.0009142,              0.0009142,              0.0009142
